name,parent,status,notes
knowledge_graph_query_engine.ipynb,query_engine,,
sub_question_query_engine.ipynb,query_engine,,
SQLAutoVectorQueryEngine.ipynb,query_engine,,
custom_query_engine.ipynb,query_engine,,
CustomRetrievers.ipynb,query_engine,,
query_transform_cookbook.ipynb,query_transformations,,
HyDEQueryTransformDemo.ipynb,query_transformations,,
SimpleIndexDemo-multistep.ipynb,query_transformations,,
pydantic_tree_summarize.ipynb,response_synthesizers,,
refine.ipynb,response_synthesizers,,
structured_refine.ipynb,response_synthesizers,,
custom_prompt_synthesizer.ipynb,response_synthesizers,,
long_context_test.ipynb,response_synthesizers,,
tree_summarize.ipynb,response_synthesizers,,
bm25_retriever.ipynb,retrievers,,
composable_retrievers.ipynb,retrievers,,
router_retriever.ipynb,retrievers,,
recursive_retriever_nodes.ipynb,retrievers,,
multi_doc_together_hybrid.ipynb,retrievers,,
vectara_auto_retriever.ipynb,retrievers,,
pathway_retriever.ipynb,retrievers,,
auto_vs_recursive_retriever.ipynb,retrievers,,
ensemble_retrieval.ipynb,retrievers,,
simple_fusion.ipynb,retrievers,,
auto_merging_retriever.ipynb,retrievers,,
recurisve_retriever_nodes_braintrust.ipynb,retrievers,,
deep_memory.ipynb,retrievers,,
you_retriever.ipynb,retrievers,,
reciprocal_rerank_fusion.ipynb,retrievers,,
OnDemandLoaderTool.ipynb,tools,,
TransformsEval.ipynb,transforms,,
10q_sub_question.ipynb,usecases,,
10k_sub_question.ipynb,usecases,,
github_issue_analysis.ipynb,usecases,,
City_Analysis-Decompose-KeywordTable.ipynb,usecases,,
email_data_extraction.ipynb,usecases,,
github_issue_analysis_data.pkl,usecases,,
TypesenseDemo.ipynb,vector_stores,,
BagelAutoRetriever.ipynb,vector_stores,,
RocksetIndexDemo.ipynb,vector_stores,,
TencentVectorDBIndexDemo.ipynb,vector_stores,,
QdrantIndexDemo.ipynb,vector_stores,,
Timescalevector.ipynb,vector_stores,,
MongoDBAtlasVectorSearch.ipynb,vector_stores,,
DocArrayInMemoryIndexDemo.ipynb,vector_stores,,
chroma_auto_retriever.ipynb,vector_stores,,
ZepIndexDemo.ipynb,vector_stores,,
FaissIndexDemo.ipynb,vector_stores,,
existing_data,vector_stores,,
SimpleIndexDemo.ipynb,vector_stores,,
qdrant_hybrid.ipynb,vector_stores,,
DeepLakeIndexDemo.ipynb,vector_stores,,
pinecone_metadata_filter.ipynb,vector_stores,,
Qdrant_using_qdrant_filters.ipynb,vector_stores,,
elasticsearch_auto_retriever.ipynb,vector_stores,,
SimpleIndexOnS3.ipynb,vector_stores,,
TxtaiIndexDemo.ipynb,vector_stores,,
CassandraIndexDemo.ipynb,vector_stores,,
Elasticsearch_demo.ipynb,vector_stores,,
AwadbDemo.ipynb,vector_stores,,
postgres.ipynb,vector_stores,,
chroma_metadata_filter.ipynb,vector_stores,,
AzureCosmosDBMongoDBvCoreDemo.ipynb,vector_stores,,
Neo4jVectorDemo.ipynb,vector_stores,,
ElasticsearchIndexDemo.ipynb,vector_stores,,
SimpleIndexDemoLlama-Local.ipynb,vector_stores,,
MyScaleIndexDemo.ipynb,vector_stores,,
MetalIndexDemo.ipynb,vector_stores,,
AsyncIndexCreationDemo.ipynb,vector_stores,,
TairIndexDemo.ipynb,vector_stores,,
PineconeIndexDemo.ipynb,vector_stores,,
RedisIndexDemo.ipynb,vector_stores,,
JaguarIndexDemo.ipynb,vector_stores,,
index_faiss.json,vector_stores,,
SimpleIndexDemoLlama2.ipynb,vector_stores,,
WeaviateIndexDemo.ipynb,vector_stores,,
SupabaseVectorIndexDemo.ipynb,vector_stores,,
PGVectoRsDemo.ipynb,vector_stores,,
WeaviateIndex_metadata_filter.ipynb,vector_stores,,
WeaviateIndexDemo-Hybrid.ipynb,vector_stores,,
DocArrayHnswIndexDemo.ipynb,vector_stores,,
DashvectorIndexDemo.ipynb,vector_stores,,
OpensearchDemo.ipynb,vector_stores,,
PineconeIndexDemo-Hybrid.ipynb,vector_stores,,
Qdrant_metadata_filter.ipynb,vector_stores,,
CognitiveSearchIndexDemo.ipynb,vector_stores,,
SimpleIndexDemoMMR.ipynb,vector_stores,,
pinecone_auto_retriever.ipynb,vector_stores,,
index_simple.json,vector_stores,,
ChromaIndexDemo.ipynb,vector_stores,,
LanceDBIndexDemo.ipynb,vector_stores,,
BagelIndexDemo.ipynb,vector_stores,,
EpsillaIndexDemo.ipynb,vector_stores,,
MilvusIndexDemo.ipynb,vector_stores,,
LanternIndexDemo.ipynb,vector_stores,,
AstraDBIndexDemo.ipynb,vector_stores,,
LanternAutoRetriever.ipynb,vector_stores,,
index_faiss_core.index,vector_stores,,
